,Height,Weight,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,_name,name,type1,type2,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,_name_clean
26,0.4 m (1′04″),13.0 kg (28.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,85,157,295,80,148,284,100,184,328,80,148,284,30,58,174,appletun,Appletun,Grass,Dragon,Green,Quadruped,False,False,False,False,False,appletun
27,0.2 m (0′08″),0.5 kg (1.1 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),52,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,80,148,284,40,76,196,40,76,196,20,40,152,applin,Applin,Grass,Dragon,Green,Squiggle,False,False,False,False,False,applin
28,1.8 m (5′11″),82.0 kg (180.8 lbs),"100 (13.1% with PokéBall, full HP)",50 (normal),159,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",68,246,340,70,130,262,92,170,311,50,94,218,132,242,399,42,80,201,araquanid,Araquanid,Water,Bug,Green,Armor,False,False,False,False,False,araquanid
29,3.5 m (11′06″),65.0 kg (143.3 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,arbok,Arbok,Poison,,Purple,Squiggle,False,False,False,False,False,arbok
30,1.4 m (4′07″),48.2 kg (106.3 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,69,128,260,90,166,306,125,229,383,109,200,348,39,74,194,arboliva,Barboach,Water,,Gray,Fish,,,,,,arboliva
31,1.9 m (6′03″),155.0 kg (341.7 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,arcanine,Arcanine,Fire,,Brown,Quadruped,False,False,False,False,False,arcanine
32,2.0 m (6′07″),168.0 kg (370.4 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",95,300,394,115,211,361,80,148,284,95,175,317,80,148,284,90,166,306,hisuian arcanine,Arcanine,Fire,,Brown,Quadruped,,,,,,arcanine
33,3.2 m (10′06″),320.0 kg (705.5 lbs),"3 (0.4% with PokéBall, full HP)",0 (lower than normal),360,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",120,350,444,120,220,372,120,220,372,120,220,372,120,220,372,120,220,372,arceus,Arceus,Normal,,White,Quadruped,True,False,False,False,False,arceus
34,2.0 m (6′07″),60.0 kg (132.3 lbs),"10 (1.3% with PokéBall, full HP)",—,—,Medium Fast,"Dragon, Mineral","50% male, 50% female",—,90,290,384,105,193,339,130,238,394,125,229,383,65,121,251,85,157,295,archaludon,Duraludon,Steel,,White,Upright,,,,,,archaludon
35,0.5 m (1′08″),9.5 kg (20.9 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,archen,Archen,Rock,Flying,Yellow,Wings,False,False,False,False,False,archen
36,1.4 m (4′07″),32.0 kg (70.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),177,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,archeops,Archeops,Rock,Flying,Yellow,Wings,False,False,False,False,False,archeops
37,0.8 m (2′07″),30.0 kg (66.1 lbs),"25 (3.3% with PokéBall, full HP)",50 (normal),148,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",90,290,384,95,175,317,66,123,254,45,85,207,65,121,251,62,116,245,arctibax,Dartrix,Grass,,Brown,Wings,,,,,,arctibax
38,2.0 m (6′07″),175.0 kg (385.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,80,148,284,90,166,306,55,103,229,arctovish,Arctovish,Water,Ice,Blue,Fish,False,False,False,False,False,arctovish
39,2.3 m (7′07″),150.0 kg (330.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,90,166,306,80,148,284,55,103,229,arctozolt,Arctozolt,Electric,Ice,Blue,Upright,False,False,False,False,False,arctozolt
40,1.1 m (3′07″),33.5 kg (73.9 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),140,Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,ariados,Ariados,Bug,Poison,Red,Armor,False,False,False,False,False,ariados
41,1.5 m (4′11″),68.2 kg (150.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,armaldo,Armaldo,Rock,Bug,Gray,Upright,False,False,False,False,False,armaldo
42,1.5 m (4′11″),85.0 kg (187.4 lbs),"25 (3.3% with PokéBall, full HP)",20 (lower than normal),263,Slow,Human-Like,"50% male, 50% female","35 (8,739–8,995 steps)",85,280,374,60,112,240,100,184,328,125,229,383,80,148,284,75,139,273,armarouge,Smeargle,Normal,,White,Upright,,,,,,armarouge
43,0.8 m (2′07″),15.5 kg (34.2 lbs),"140 (18.3% with PokéBall, full HP)",50 (normal),162,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",101,312,406,72,134,267,72,134,267,99,182,326,89,164,304,29,56,172,aromatisse,Aromatisse,Fairy,,Pink,Humanoid,False,False,False,False,False,aromatisse
44,0.4 m (1′04″),60.0 kg (132.3 lbs),"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,aron,Aron,Steel,Rock,Gray,Quadruped,False,False,False,False,False,aron
45,0.5 m (1′08″),1.0 kg (2.2 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",41,192,286,63,117,247,40,76,196,40,76,196,30,58,174,66,123,254,arrokuda,Arrokuda,Water,,Brown,Fish,False,False,False,False,False,arrokuda
46,1.7 m (5′07″),55.4 kg (122.1 lbs),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,articuno,Articuno,Ice,Flying,Blue,Wings,True,False,False,False,False,articuno
47,1.7 m (5′07″),50.9 kg (112.2 lbs),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,85,157,295,125,229,383,100,184,328,95,175,317,galarian articuno,Articuno,Ice,,Blue,Wings,,,,,,articuno
48,1.1 m (3′07″),31.0 kg (68.3 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,86,159,298,60,112,240,86,159,298,50,94,218,audino,Audino,Normal,,Pink,Upright,False,False,False,False,False,audino
49,1.5 m (4′11″),32.0 kg (70.5 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),425,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,126,231,386,80,148,284,126,231,386,50,94,218,mega audino,Audino,Normal,,Pink,Upright,,,,,,audino
50,2.7 m (8′10″),225.0 kg (496.0 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),104,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",123,356,450,77,143,278,72,134,267,99,182,326,92,170,311,58,108,236,aurorus,Aurorus,Rock,Ice,Blue,Quadruped,False,False,False,False,False,aurorus
51,2.0 m (6′07″),505.0 kg (1113.3 lbs),"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,117,215,366,184,335,513,44,83,205,46,87,210,28,54,170,avalugg,Avalugg,Ice,,Blue,Quadruped,False,False,False,False,False,avalugg
52,1.4 m (4′07″),262.4 kg (578.5 lbs),"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,127,233,388,184,335,513,34,65,183,36,69,188,38,72,192,hisuian avalugg,Avalugg,Ice,,Blue,Quadruped,,,,,,avalugg
53,0.6 m (2′00″),18.0 kg (39.7 lbs),"75 (9.8% with PokéBall, full HP)",35 (lower than normal),64,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",46,202,296,87,161,300,60,112,240,30,58,174,40,76,196,57,107,234,axew,Axew,Dragon,,Green,Upright,False,False,False,False,False,axew
54,0.3 m (1′00″),0.3 kg (0.7 lbs),"3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",75,260,354,125,229,383,70,130,262,125,229,383,70,130,262,115,211,361,azelf,Azelf,Psychic,,Blue,Upright,True,False,False,False,False,azelf
55,0.8 m (2′07″),28.5 kg (62.8 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),210,Fast,"Fairy, Water 1","50% male, 50% female","10 (2,314–2,570 steps)",100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,azumarill,Azumarill,Water,Fairy,Blue,Upright,False,False,False,False,False,azumarill
56,0.2 m (0′08″),2.0 kg (4.4 lbs),"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,Undiscovered,"25% male, 75% female","10 (2,314–2,570 steps)",50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,azurill,Azurill,Normal,Fairy,Blue,Legs,False,False,False,False,False,azurill
57,0.6 m (2′00″),42.1 kg (92.8 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,Dragon,"50% male, 50% female","40 (10,024–10,280 steps)",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,bagon,Bagon,Dragon,,Blue,Humanoid,False,False,False,False,False,bagon
58,0.5 m (1′08″),21.5 kg (47.4 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,baltoy,Baltoy,Ground,Psychic,Brown,Arms,False,False,False,False,False,baltoy
59,1.1 m (3′07″),12.5 kg (27.6 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),159,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,banette,Banette,Ghost,,Black,Upright,False,False,False,False,False,banette
60,1.2 m (3′11″),13.0 kg (28.7 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),194,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,165,301,471,75,139,273,93,171,313,83,153,291,75,139,273,mega banette,Banette,Ghost,,Black,Upright,,,,,,banette
61,1.3 m (4′03″),96.0 kg (211.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),175,Medium Fast,Water 3,"50% male, 50% female","20 (4,884–5,140 steps)",72,254,348,105,193,339,115,211,361,54,101,227,86,159,298,68,126,258,barbaracle,Barbaracle,Rock,Water,Brown,Heads,False,False,False,False,False,barbaracle
62,0.4 m (1′04″),1.9 kg (4.2 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),58,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,48,90,214,43,81,203,46,87,210,41,78,199,60,112,240,barboach,Barboach,Water,Ground,Gray,Fish,False,False,False,False,False,barboach
63,1.3 m (4′03″),30.0 kg (66.1 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),172,Slow,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",61,232,326,123,225,379,60,112,240,60,112,240,50,94,218,136,249,408,barraskewda,Barraskewda,Water,,Brown,Fish,False,False,False,False,False,barraskewda
64,3.0 m (9′10″),110.0 kg (242.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Fast,Water 2,"100% male, 0% female","20 (4,884–5,140 steps)",120,350,444,112,206,355,65,121,251,80,148,284,75,139,273,78,144,280,basculegion male,Cobalion,Steel,,Blue,Quadruped,,,,,,basculegion male
65,3.0 m (9′10″),110.0 kg (242.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Fast,Water 2,"0% male, 100% female","20 (4,884–5,140 steps)",120,350,444,92,170,311,65,121,251,100,184,328,75,139,273,78,144,280,basculegion female,Talonflame,Fire,,Red,Wings,,,,,,basculegion female
66,1.0 m (3′03″),18.0 kg (39.7 lbs),"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,basculin red-striped form,Meowstic Male,Psychic,,Blue,Upright,,,,,,basculin red striped
67,1.0 m (3′03″),18.0 kg (39.7 lbs),"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,basculin blue-striped form,Meowstic Male,Psychic,,Blue,Upright,,,,,,basculin blue striped
68,1.0 m (3′03″),18.0 kg (39.7 lbs),"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,basculin white-striped form,Scolipede,Bug,,Red,Armor,,,,,,basculin white striped
69,1.3 m (4′03″),149.5 kg (329.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",60,230,324,52,98,223,168,306,478,47,89,212,138,252,412,30,58,174,bastiodon,Bastiodon,Rock,Steel,Gray,Quadruped,False,False,False,False,False,bastiodon
70,2.1 m (6′11″),210.0 kg (463.0 lbs),"10 (1.3% with PokéBall, full HP)",50 (normal),300,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",115,340,434,145,265,427,92,170,311,75,139,273,86,159,298,87,161,300,baxcalibur,Bulbasaur,Grass,,Green,Quadruped,,,,,,baxcalibur
71,1.2 m (3′11″),15.8 kg (34.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",60,230,324,62,116,245,80,148,284,63,117,247,80,148,284,60,112,240,bayleef,Bayleef,Grass,,Green,Quadruped,False,False,False,False,False,bayleef
72,2.6 m (8′06″),260.0 kg (573.2 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,130,238,394,80,148,284,70,130,262,80,148,284,50,94,218,beartic,Beartic,Ice,,White,Quadruped,False,False,False,False,False,beartic
73,1.0 m (3′03″),28.4 kg (62.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,70,130,262,50,94,218,100,184,328,50,94,218,65,121,251,beautifly,Beautifly,Bug,Flying,Yellow,Bug-Wings,False,False,False,False,False,beautifly
74,1.0 m (3′03″),29.5 kg (65.0 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,beedrill,Beedrill,Bug,Poison,Yellow,Bug-Wings,False,False,False,False,False,beedrill
75,1.4 m (4′07″),40.5 kg (89.3 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),223,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,150,274,438,40,76,196,15,31,141,80,148,284,145,265,427,mega beedrill,Beedrill,Bug,,Yellow,Bug-Wings,,,,,,beedrill
76,1.0 m (3′03″),34.5 kg (76.1 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,75,139,273,125,229,383,95,175,317,40,76,196,beheeyem,Beheeyem,Psychic,,Brown,Humanoid,False,False,False,False,False,beheeyem
77,0.6 m (2′00″),95.2 kg (209.9 lbs),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),60,Slow,Mineral,Genderless,"40 (10,024–10,280 steps)",40,190,284,55,103,229,80,148,284,35,67,185,60,112,240,30,58,174,beldum,Beldum,Steel,Psychic,Blue,Blob,False,False,False,False,False,beldum
78,1.2 m (3′11″),113.0 kg (249.1 lbs),"50 (6.5% with PokéBall, full HP)",50 (normal),173,Medium Fast,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,64,119,249,91,168,309,103,189,335,83,153,291,45,85,207,bellibolt,Heliolisk,Electric,,Yellow,Upright,,,,,,bellibolt
79,0.4 m (1′04″),5.8 kg (12.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,80,148,284,95,175,317,90,166,306,100,184,328,50,94,218,bellossom,Bellossom,Grass,,Green,Humanoid,False,False,False,False,False,bellossom
